From, To, Tempo, Qtde, Kind, Lat, Lon
n196,n45,420,0,63,-49.27389805,-25.4368732
n45,n65,420,0,41,-49.2749506,-25.4373149
n198,n285,420,0,44,-49.261836900000006,-25.43572735
n285,n198,420,0,40,-49.261836900000006,-25.43572735
n121,n285,420,0,40,-49.2630069,-25.43616605
n285,n121,420,0,44,-49.2630069,-25.43616605
n160,n520,420,0,31,-49.2611906,-25.433239450000002
n520,n160,420,0,31,-49.2611906,-25.433239450000002
n199,n520,420,0,31,-49.2615871,-25.432352700000003
n520,n199,420,0,31,-49.2615871,-25.432352700000003
n120,n160,420,0,31,-49.26094435,-25.4337886
n160,n120,420,0,31,-49.26094435,-25.4337886
n158,n519,420,0,32,-49.2613066536,-25.43337113935
n519,n158,420,0,32,-49.2613066536,-25.43337113935
n131,n519,420,0,32,-49.26171165,-25.4324875
n519,n131,420,0,32,-49.26171165,-25.4324875
n213,n214,420,0,49,-49.259746899999996,-25.4356981
n214,n213,420,0,49,-49.259746899999996,-25.4356981
n215,n216,420,0,39,-49.26492625,-25.43877605
n216,n215,420,0,39,-49.26492625,-25.43877605
n217,n218,420,0,39,-49.26667275,-25.43944145
n218,n217,420,0,39,-49.26667275,-25.43944145
n219,n220,420,0,39,-49.263235449999996,-25.4381354
n220,n219,420,0,39,-49.263235449999996,-25.4381354
n221,n222,420,0,39,-49.268204499999996,-25.440000949999998
n222,n221,420,0,39,-49.268204499999996,-25.440000949999998
n221,n223,420,0,39,-49.2683397,-25.4400538
n223,n221,420,0,39,-49.2683397,-25.4400538
n228,n229,420,0,39,-49.27177035,-25.4413653
n229,n228,420,0,39,-49.27177035,-25.4413653
n230,n231,420,0,39,-49.26695855,-25.4395526
n231,n230,420,0,39,-49.26695855,-25.4395526
n232,n233,420,0,39,-49.265943,-25.4357459
n233,n232,420,0,39,-49.265943,-25.4357459
n238,n239,420,0,39,-49.2637506,-25.4348988
n239,n238,420,0,39,-49.2637506,-25.4348988
n240,n241,420,0,39,-49.268506650000006,-25.4367676
n241,n240,420,0,39,-49.268506650000006,-25.4367676
n242,n243,420,0,39,-49.2624074,-25.434376800000003
n243,n242,420,0,39,-49.2624074,-25.434376800000003
n244,n245,420,0,39,-49.27204305,-25.43818075
n245,n244,420,0,39,-49.27204305,-25.43818075
n246,n247,420,0,40,-49.27207165,-25.43713805
n247,n246,420,0,40,-49.27207165,-25.43713805
n248,n249,420,0,39,-49.2605417,-25.43363295
n249,n248,420,0,39,-49.2605417,-25.43363295
n250,n251,420,0,39,-49.271339049999995,-25.4378955
n251,n250,420,0,39,-49.271339049999995,-25.4378955
n252,n253,420,0,39,-49.261571,-25.4340474
n253,n252,420,0,39,-49.261571,-25.4340474
n256,n257,420,0,39,-49.2731317,-25.438597100000003
n257,n256,420,0,39,-49.2731317,-25.438597100000003
n258,n259,420,0,39,-49.26973795,-25.437248500000003
n259,n258,420,0,39,-49.26973795,-25.437248500000003
n2,n75,420,0,32,-49.2672028,-25.436308500000003
n75,n2,420,0,32,-49.2672028,-25.436308500000003
n116,n118,420,0,41,-49.262994649999996,-25.43458775
n118,n116,420,0,41,-49.262994649999996,-25.43458775
n10,n214,420,0,42,-49.2599165,-25.435822899999998
n214,n10,420,0,41,-49.2599165,-25.435822899999998
n214,n299,420,0,42,-49.25841965,-25.4358112
n299,n214,420,0,41,-49.25841965,-25.4358112
n259,n281,420,0,75,-49.2698385,-25.4372928
n281,n259,420,0,75,-49.2698385,-25.4372928
n41,n134,420,0,32,-49.2604851,-25.4352697
n134,n41,420,0,32,-49.2604851,-25.4352697
n134,n284,420,0,42,-49.260384650000006,-25.435287250000002
n284,n134,420,0,42,-49.260384650000006,-25.435287250000002
n128,n285,420,0,42,-49.262331,-25.43596365
n285,n128,420,0,42,-49.262331,-25.43596365
n116,n285,420,0,41,-49.26266955,-25.4352811
n198,n472,420,0,42,-49.26127935,-25.43558475
n472,n198,420,0,42,-49.26127935,-25.43558475
n286,n472,420,0,42,-49.2612058,-25.43574375
n472,n286,420,0,42,-49.2612058,-25.43574375
n133,n284,420,0,32,-49.2603005,-25.43540055
n284,n133,420,0,31,-49.2603005,-25.43540055
n120,n287,420,0,31,-49.2606324,-25.43449695
n41,n287,420,0,41,-49.2604214,-25.435187149999997
n287,n41,420,0,41,-49.2604214,-25.435187149999997
n129,n286,420,0,45,-49.26139755,-25.43584155
n286,n129,420,0,41,-49.26139755,-25.43584155
n11,n40,420,0,52,-49.25851405,-25.4345076
n40,n11,420,0,42,-49.25851405,-25.4345076
n287,n292,420,0,41,-49.259929799999995,-25.434997
n292,n287,420,0,41,-49.259929799999995,-25.434997
n119,n293,420,0,51,-49.25923325,-25.433121149999998
n293,n119,420,0,51,-49.25923325,-25.433121149999998
n293,n304,420,0,51,-49.2597304,-25.43218155
n304,n293,420,0,51,-49.2597304,-25.43218155
n294,n304,420,0,51,-49.26049115,-25.4307154
n292,n387,420,0,72,-49.259495099999995,-25.43488815
n387,n292,420,0,72,-49.259495099999995,-25.43488815
n297,n387,420,0,72,-49.259317499999995,-25.43525135
n387,n297,420,0,72,-49.259317499999995,-25.43525135
n112,n301,420,0,72,-49.260150800000005,-25.43349235
n301,n112,420,0,72,-49.260150800000005,-25.43349235
n292,n301,420,0,72,-49.25981985,-25.4341953
n301,n292,420,0,72,-49.25981985,-25.4341953
n198,n302,420,0,42,-49.261592050000004,-25.4348832
n302,n198,420,0,42,-49.261592050000004,-25.4348832
n112,n249,420,0,32,-49.26041335,-25.4335261
n249,n112,420,0,30,-49.26041335,-25.4335261
n160,n249,420,0,30,-49.260805649999995,-25.4336755
n249,n160,420,0,32,-49.260805649999995,-25.4336755
n114,n527,420,0,43,-49.264286549999994,-25.4351104
n527,n114,420,0,43,-49.264286549999994,-25.4351104
n121,n527,420,0,43,-49.26395495,-25.43578665
n527,n121,420,0,43,-49.26395495,-25.43578665
n131,n199,420,0,63,-49.261837150000005,-25.43199475
n199,n131,420,0,63,-49.261837150000005,-25.43199475
n199,n303,420,0,40,-49.261384,-25.4317929
n303,n199,420,0,40,-49.261384,-25.4317929
n303,n304,420,0,40,-49.260602500000005,-25.43146435
n304,n303,420,0,40,-49.260602500000005,-25.43146435
n304,n386,420,0,40,-49.259736700000005,-25.43110645
n386,n304,420,0,40,-49.259736700000005,-25.43110645
n305,n386,420,0,40,-49.258763450000004,-25.4306866
n2,n115,420,0,41,-49.2679383,-25.43654095
n115,n2,420,0,40,-49.2679383,-25.43654095
n310,n311,420,0,31,-49.26904585,-25.436969849999997
n311,n310,420,0,31,-49.26904585,-25.436969849999997
n259,n310,420,0,32,-49.269412349999996,-25.437182149999998
n310,n259,420,0,32,-49.269412349999996,-25.437182149999998
n259,n312,420,0,32,-49.270197100000004,-25.4374977
n312,n259,420,0,32,-49.270197100000004,-25.4374977
n240,n2,420,0,32,-49.2681374,-25.4366855
n313,n314,420,0,41,-49.2725991,-25.43837985
n314,n313,420,0,41,-49.2725991,-25.43837985
n66,n46,420,0,31,-49.2741835,-25.43893245
n250,n315,420,0,31,-49.2709449,-25.43766265
n250,n559,420,0,32,-49.2714287,-25.43786965
n559,n250,420,0,31,-49.2714287,-25.43786965
n246,n559,420,0,31,-49.27163795,-25.4379627
n559,n246,420,0,32,-49.27163795,-25.4379627
n245,n246,420,0,31,-49.271899250000004,-25.43806605
n246,n245,420,0,32,-49.271899250000004,-25.43806605
n245,n314,420,0,32,-49.27237745,-25.438239799999998
n314,n245,420,0,31,-49.27237745,-25.438239799999998
n257,n313,420,0,32,-49.2728805,-25.438557250000002
n313,n257,420,0,32,-49.2728805,-25.438557250000002
n257,n316,420,0,32,-49.273389,-25.4387715
n316,n257,420,0,32,-49.273389,-25.4387715
n312,n315,420,0,33,-49.27061135,-25.437591150000003
n315,n312,420,0,33,-49.27061135,-25.437591150000003
n46,n316,420,0,43,-49.273618150000004,-25.438798849999998
n316,n46,420,0,43,-49.273618150000004,-25.438798849999998
n121,n331,420,0,43,-49.263615599999994,-25.43646855
n331,n121,420,0,43,-49.263615599999994,-25.43646855
n130,n331,420,0,43,-49.2632397,-25.437231099999998
n76,n572,420,0,44,-49.2660092,-25.437264
n572,n76,420,0,40,-49.2660092,-25.437264
n572,n573,420,0,44,-49.26663565,-25.43750765
n573,n572,420,0,40,-49.26663565,-25.43750765
n323,n573,420,0,40,-49.267261250000004,-25.43774955
n573,n323,420,0,44,-49.267261250000004,-25.43774955
n323,n333,420,0,44,-49.26787335,-25.4379866
n333,n323,420,0,40,-49.26787335,-25.4379866
n324,n333,420,0,40,-49.2692548,-25.4385257
n325,n518,420,0,43,-49.27302315,-25.4400655
n518,n325,420,0,43,-49.27302315,-25.4400655
n326,n518,420,0,43,-49.27269750000001,-25.4408351
n518,n326,420,0,43,-49.27269750000001,-25.4408351
n327,n325,420,0,40,-49.27357055,-25.44017765
n324,n329,420,0,44,-49.271054649999996,-25.4392265
n329,n324,420,0,40,-49.271054649999996,-25.4392265
n330,n574,420,0,44,-49.2677118,-25.438153749999998
n574,n330,420,0,40,-49.2677118,-25.438153749999998
n571,n574,420,0,40,-49.266543850000005,-25.43770325
n574,n571,420,0,44,-49.266543850000005,-25.43770325
n124,n571,420,0,40,-49.26587225,-25.4374392
n571,n124,420,0,44,-49.26587225,-25.4374392
n124,n125,420,0,44,-49.2655912,-25.4373184
n125,n124,420,0,40,-49.2655912,-25.4373184
n331,n125,420,0,40,-49.2645042,-25.436886649999998
n128,n331,420,0,41,-49.2629397,-25.43626615
n324,n339,420,0,32,-49.270057550000004,-25.438938800000003
n339,n324,420,0,32,-49.270057550000004,-25.438938800000003
n332,n339,420,0,32,-49.26972125,-25.4397052
n339,n332,420,0,32,-49.26972125,-25.4397052
n330,n333,420,0,31,-49.268371599999995,-25.438294
